番号,Ap. 語形,Ap. アクセント,意味,脚韻開始一致率,内訳,全体,逸脱,Ved. のアクセント,,
76,aparajjia-,aparájjia-,打ち負かされない,100.000%,2,2,0,áparājita-,,
77,aparāaṇa-,aparā́aṇa-,打ち負かされない,100.000%,2,2,0,,,
78,aparāia-,aparā́ia-,打ち負かされない,100.000%,2,2,0,áparājita-,,
79,appaṇa-,appaṇa-,自己,61.111%,11,18,2,ātmán-,,
80,appaṇia-,appáṇia-,自己の,100.000%,2,2,0,ātmanya-,,
81,appamāṇa-,appámāṇa- / appamā́ṇa-,欺瞞の,50.000%,2,4,,apramāṇa-,,
82,appa-,áppa-,至らせる,100.000%,2,2,0,arpaya-,,
83,appa-,áppa-,自己,100.000%,5,5,0,ātmán-,,
84,appāṇa-,appā́ṇa-,自己,100.000%,5,5,0,ātmán-,,
85,appia-,áppia-,至らされた,100.000%,2,2,0,árpita-,,
86,apphāla-,apphā́la-,手で打つ,66.667%,2,3,1,āsphālaya-,,
87,apphālia-,apphā́lia-,叩かれた,88.889%,8,9,1,āsphālita-,,
88,apphālivi,apphā́livi,手で打ってから,100.000%,2,2,0,,,
89,abbhantara-,abbhantára-/abbhántara-,中の,50.000%,2,4,,abhyantara-,,
90,abbhiṭṭa-,abbhiṭṭá-,行き合わせる、衝突する,100.000%,3,3,0,,,
91,abbhiṭṭa-,abbhiṭṭá-,行き合わせた、衝突した,100.000%,5,5,0,,,
92,abbhiḍa-,abbhiḍá-,会う,100.000%,2,2,0,,,
93,abbhiḍia-,abbhiḍía-,会った,100.000%,6,6,0,,,
94,abhaa-,abháa-,恐れのない,100.000%,2,2,0,ábhaya-,,
95,abhaṅga-,abháṅga-,壊れない,100.000%,7,7,0,*abhaṅga-,,
96,amaṅgala-,amaṅgála-,不吉祥な,100.000%,3,3,0,amaṅgala-,,
97,amara-,amára-,不死者,80.000%,4,5,0,amára-,,
98,amarinda-,amárinda- / amarínda- / amarindá-,至高の不死者,33.333%,1,3,,,,
99,amarisa-,amarísa- / amarisá-,情熱,50.000%,1,2,0,amarṣa-,,
100,amiaga-,amiagá-,甘露,100.000%,2,2,0,,,
101,amvara-,amvára-,衣服,66.667%,2,3,0,ámbara-,,
102,amvuhara-,amvuhára-,雲,100.000%,2,2,0,ambudhara-,,
103,amhārisa-,amhā́risa-,我々のような,75.000%,3,4,1,asmādṛśa-,,
104,arahanta-,arahánta-,阿羅漢,66.667%,2,3,0,árhat-,,
105,ari-,ári-,敵,100.000%,4,4,0,arí-,,
106,aruṇa-,áruṇa-,蓮,100.000%,2,2,0,,,
107,alakkhaṇa-,alakkháṇa-,吉兆のない,100.000%,3,3,0,alakṣaṇá-,,
108,alaṅgha-,aláṅgha-,打ち勝ち難い,100.000%,5,5,0,alaṅghya-,,
109,alajjia-,alájjia-,恥じらわない,100.000%,4,4,0,*alajjita-,,
110,alahanta-,alahánta-,得ていない,60.000%,3,5,1,,,
111,alahantia-,alahántia-,得ていない,100.000%,2,2,0,,,
112,alia-,ália-,虚偽,100.000%,2,2,0,álīka-,,
113,allīṇa-,allīṇá-,住んでいる,66.667%,2,3,1,ālīna-,,
114,avaajjia-,avaájjia-,分けられた？,100.000%,3,3,0,,,
115,avaaria-,avaária-,降り立った,83.333%,5,6,1,,,
116,avagaṇṇivi,avagáṇṇivi,軽蔑して,100.000%,2,2,0,,,
117,avamāṇia-,avamā́ṇia-,軽蔑された,100.000%,4,4,0,avamānita-,,
118,avara-,ávara-,後の,80.000%,4,5,1,ápara-,,
119,avaruṇḍaṇa-,avaruṇḍáṇa-,抱擁,100.000%,3,3,0,avaruṇḍaṇa-,,
120,avaleva-,avaléva-,誇り,100.000%,4,4,0,avalepa-,,
121,avaloaṇa-,avalóaṇa- / avaloáṇa-,見ること,50.000%,1,2,,avalokana-,,
122,avaloa-,avalóa- / avaloá-,見る,50.000%,1,2,,avalokaya-,,
123,avaloia-,avalóia-,見られた,100.000%,2,2,0,avalokita-,,
